gene	C100	C141	C142	C143	C144	C145	C146	C148	C149	C152	C51	C52
TRBV10-1	0	22	24	81	0	11	0	7	4	2	0	0
TRBV11-1	0	20	52	148	0	20	0	1	12	0	0	0
TRBV12-1	0	1	8	0	1	0	0	0	0	0	0	0
TRBV10-2	0	255	60	147	42	18	0	0	4	21	0	0
TRBV11-2	0	328	110	2114	189	104	13	17	124	148	1	0
TRBV12-2	0	1	0	8	0	1	0	0	0	4	0	0
TRBV6-5	0	380	187	1060	90	123	1	34	69	565	0	0
TRBV7-4	0	44	23	90	0	5	0	1	5	6	0	0
TRBV5-4	0	201	290	269	23	38	0	1	16	137	3	0
TRBV6-6	0	189	156	241	5	10	0	10	13	113	0	0
TRBV7-5	0	0	3	0	0	0	0	0	0	0	0	0
TRBV5-5	0	762	160	113	0	50	0	26	18	0	0	0
TRBV6-7	0	0	0	11	0	0	0	0	0	0	0	0
TRBV7-6	0	759	295	1498	1	88	5	22	351	37	0	0
TRBV5-6	0	115	116	189	15	48	49	12	20	52	0	0
TRBV6-8	0	0	2	7	0	0	0	0	1	0	0	0
TRBV7-7	0	11	1	31	0	5	0	0	7	1	0	0
TRBV5-7	0	0	3	1	0	0	1	0	0	3	0	0
TRBV7-9	0	992	649	1136	82	167	8	41	27	274	1	0
TRBV13	0	168	95	138	23	5	1	0	4	325	0	0
TRBV10-3	0	149	499	230	6	37	8	29	26	55	0	0
TRBV11-3	0	68	44	212	3	39	0	7	17	37	0	0
TRBV12-3	0	178	111	237	2	17	4	57	21	1	0	0
TRBV12-4	1	1031	1671	102	54	59	1	14	30	24	0	0
TRBV12-5	0	18	17	15	23	5	2	1	1	7	0	0
TRBV14	0	62	21	131	1	16	7	0	19	17	5	0
TRBV15	0	190	46	19	8	10	18	0	2	15	0	0
TRBV16	0	1	1	11	0	0	0	0	0	0	0	0
TRBV17	0	0	0	0	0	0	0	0	0	0	0	0
TRBV18	1	194	145	752	4	31	20	33	73	60	0	0
TRBV19	1	561	298	625	17	65	14	67	44	89	2	0
TRBV20-1	2	1152	1482	2193	95	264	97	162	177	260	1	0
TRBV21-1	0	58	109	63	1	23	8	9	8	5	0	0
TRBV22-1	0	0	0	0	0	0	0	0	0	0	0	0
TRBV23-1	0	9	55	13	0	13	0	15	3	9	0	0
TRBV24-1	0	125	61	179	14	40	0	29	5	95	0	0
MTRNR2L6	0	12	17	57	3	37	21	20	15	20	0	0
TRBV25-1	0	89	34	85	0	12	0	1	11	7	0	0
TRBVA	0	0	0	0	0	0	0	0	0	0	0	0
TRBV26	0	0	0	0	0	0	0	0	0	0	0	0
TRBVB	1	0	0	0	0	0	0	0	1	0	0	0
TRBV27	0	137	302	340	95	38	3	2	100	231	0	0
TRBV28	20	277	869	1309	33	89	26	63	169	51	12	0
TRBV29-1	0	87	151	348	0	34	0	8	17	103	1	0
PRSS1	0	0	0	1	0	3	0	0	0	1	0	0
PRSS2	1	0	0	34	0	7	0	0	0	1	0	0
TRBD1	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ1-1	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ1-2	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ1-3	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ1-4	0	0	0	0	0	0	0	1	0	0	0	0
TRBJ1-5	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ1-6	0	0	0	0	0	0	0	0	0	0	0	0
TRBC1	712	1207	1248	3374	206	581	58	210	411	1228	356	14
TRBJ2-1	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ2-2	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ2-2P	0	0	0	1	0	1	0	0	0	0	0	0
TRBJ2-3	0	1	0	0	0	0	0	0	0	0	0	0
TRBJ2-4	0	0	0	1	0	0	0	0	0	0	0	0
TRBJ2-5	0	1	0	0	0	0	0	0	0	0	0	0
TRBJ2-6	0	0	0	0	0	0	0	0	0	0	0	0
TRBJ2-7	0	1	0	0	0	0	0	0	0	0	0	0
TRBC2	758	2645	2211	5409	508	951	138	349	737	2270	429	21
TRBV30	0	382	211	388	0	42	1	15	48	3	0	0
EPHB6	296	407	411	322	9	152	13	90	29	35	233	56
TRPV6	4	2	2	45	0	1	4	25	36	21	1	0
AC245427.1	0	0	0	0	0	0	0	0	0	0	0	0
TRPV5	2	1	3	3	0	3	0	2	0	0	1	0
LLCFC1	11	2	5	1	0	3	0	1	1	0	2	1
KEL	2	6	5	14	1	6	2	5	8	1	1	4
OR9A2	0	0	0	1	0	0	0	0	0	0	0	0
OR6V1	0	0	0	0	0	0	0	0	0	0	0	0
PIP	0	48	16	32	2	23	2	20	98	105	1	3
TAS2R39	0	1	0	1	1	0	0	0	0	0	0	0
AC073342.2	0	1	0	0	0	0	0	0	0	0	0	0
TAS2R40	0	0	0	0	0	0	1	0	0	0	0	0
GSTK1	5173	14416	13888	20298	755	5383	545	3647	2371	2920	9335	4801
AC073342.1	0	0	0	0	0	1	0	0	0	0	0	0
TMEM139	0	15	11	43	2	21	2	46	16	2	1	0
CASP2	517	468	380	761	35	303	42	168	109	261	332	178
CLCN1	9	22	2	55	0	10	1	5	5	4	3	18
FAM131B	10	15	11	18	5	9	2	3	1	2	3	0
AC093673.2	0	0	0	40	0	2	0	0	0	2	0	0
AC093673.1	334	68	89	223	9	175	28	66	44	72	325	185
ZYX	4145	12095	10475	28702	590	8213	1023	4964	2546	3340	4435	2324
EPHA1	8	86	94	131	17	30	6	87	43	19	1	0
EPHA1-AS1	25	75	135	153	13	99	8	7	50	22	25	179
TAS2R60	0	0	0	1	1	0	0	0	0	0	0	0
TAS2R41	0	0	0	0	0	0	0	0	0	0	0	0
CTAGE15	1	6	2	3	0	1	0	3	4	0	0	0
TCAF2	16	131	110	690	15	103	23	46	110	132	11	4
TCAF2C	0	2	0	7	0	1	0	0	6	0	0	0
CTAGE6	0	1	2	4	0	1	0	0	1	2	0	0
TCAF1	541	1222	871	649	38	345	23	123	88	80	352	270
OR2F2	0	0	0	0	0	0	0	0	0	0	0	0
OR2F1	0	0	0	1	0	0	0	0	0	0	0	0
OR6B1	0	0	0	1	0	0	0	0	0	0	0	0
OR2A5	0	1	1	0	0	0	0	0	0	3	1	0
OR2A25	0	0	0	4	0	1	1	0	0	2	1	0
OR2A12	1	0	0	1	0	0	0	0	1	0	0	0
OR2A2	0	0	0	0	0	0	0	0	0	0	0	0
OR2A14	0	0	0	0	0	0	0	0	0	0	0	0
CTAGE4	0	7	10	22	0	3	3	17	3	13	2	3
ARHGEF35	256	113	106	136	10	38	13	111	108	81	646	104
AC004889.1	22	44	40	6	1	5	2	7	2	12	33	25
OR2A42	3	0	1	0	0	0	0	1	0	2	5	1
AC074386.1	100	217	501	76	14	60	9	62	23	39	80	74
OR2A7	2	10	10	1	0	3	2	13	1	4	1	0
CTAGE8	4	2	1	0	0	0	0	0	0	0	0	0
OR2A1-AS1	30	49	47	34	1	13	12	34	10	39	78	19
OR2A1	3	0	0	0	0	0	0	1	1	2	1	0
ARHGEF5	151	395	381	329	16	90	39	468	90	211	240	44
NOBOX	0	0	0	0	0	0	0	0	0	0	0	0
TPK1	525	791	752	936	28	403	55	178	103	167	512	268
AC006007.1	0	0	0	0	0	0	0	0	0	0	0	0
CNTNAP2	3	0	0	1	0	1	8	9	2	1	1	0
AC006004.1	0	0	0	0	0	0	2	0	19	0	0	0
AC006974.1	0	0	0	0	0	8	0	0	0	0	0	0
AC006974.2	0	12	5	75	2	126	3	0	6	8	0	0
C7orf33	0	1	0	12	0	8	0	3	1	2	0	0
AC005229.4	45	103	86	335	3	200	15	50	28	34	29	22
CUL1	797	2169	1860	6379	93	2477	211	675	409	568	657	372
EZH2	152	476	348	2323	41	481	82	198	132	935	132	35
GHET1	5	4	7	17	2	5	1	3	6	7	1	1
PDIA4	2619	6543	6013	8904	296	4749	314	2158	2014	4188	2826	1602
ZNF786	129	256	206	158	5	72	19	46	27	36	104	84
ZNF425	7	44	52	48	5	25	15	17	14	28	3	1
ZNF398	131	360	341	494	22	167	57	82	102	174	109	82
ZNF282	136	329	276	792	15	237	59	126	89	161	128	55
ZNF212	151	294	294	460	7	185	33	69	63	121	122	74
ZNF783	336	262	235	426	13	241	37	65	71	65	152	112
AC004941.1	0	0	0	1	0	0	0	0	0	0	0	0
AC073314.1	0	0	0	2	0	1	0	2	0	3	1	0
ZNF777	116	59	50	99	7	53	16	36	18	47	64	16
ZNF746	181	327	260	971	25	311	120	147	157	150	160	122
KRBA1	57	100	92	119	2	83	17	24	31	29	56	22
ZNF467	59	116	60	563	2	170	21	103	106	30	44	11
SSPO	1	0	2	12	0	4	1	4	0	1	0	0
ZNF862	47	416	385	260	34	139	47	81	68	93	34	25
AC004877.1	1	2	1	5	0	3	3	1	1	0	0	1
ATP6V0E2-AS1	9	43	54	38	3	12	13	11	7	4	6	5
ATP6V0E2	394	1713	1255	1210	59	194	42	319	261	249	452	180
AC093458.1	0	1	0	0	0	0	1	0	0	0	0	0
AC092681.3	3	3	3	1	0	1	0	0	0	4	5	2
AC092681.2	0	0	0	2	0	0	1	0	0	0	0	0
AC092666.1	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	85	166	150	170	11	38	22	62	31	39	106	40
LRRC61	210	749	752	505	66	222	86	160	85	153	408	154
ZBED6CL	64	98	107	91	2	14	4	13	11	21	57	47
RARRES2	1	37	74	8	17	61	6	73	7	16	3	0
AC005586.1	0	3	3	2	0	3	2	2	1	0	0	0
REPIN1	605	1303	1068	1551	54	661	270	502	326	314	651	336
AC073111.3	0	1	1	1	0	0	0	0	0	0	0	0
ZNF775	153	59	63	131	5	47	13	16	14	20	74	43
AC073111.1	0	0	0	0	0	0	0	0	0	1	0	0
AC073111.5	63	409	389	745	22	185	29	82	152	126	67	25
LINC00996	581	846	1581	879	25	226	37	42	112	84	871	295
GIMAP8	187	1700	1130	3097	42	957	92	164	175	211	172	81
GIMAP7	682	7354	5590	14397	533	3582	281	647	1561	1388	653	210
GIMAP4	2307	15499	12455	27542	535	9032	689	1497	2131	1430	2275	978
GIMAP6	217	1797	1293	3887	121	1385	104	320	500	422	181	84
GIMAP2	1340	4180	3909	4832	136	1984	215	295	500	474	1236	749
GIMAP1	727	3323	2052	3127	186	1138	142	268	632	355	907	471
GIMAP1-GIMAP5	0	0	0	1	0	0	0	0	0	0	0	0
GIMAP5	119	1441	1097	3415	130	1051	144	245	569	295	69	33
TMEM176B	1028	11698	10151	12204	79	5187	423	582	363	972	1096	2625
TMEM176A	588	8534	5667	6426	37	3808	349	482	315	718	552	1348
AOC1	2	4	6	6	0	1	0	1	0	0	11	0
KCNH2	3	7	5	7	1	0	2	4	1	2	2	3
NOS3	8	67	42	77	5	29	87	18	72	31	13	2
ATG9B	7	113	117	130	11	135	161	65	128	74	10	2
ABCB8	387	644	694	1638	39	636	75	347	182	464	327	152
AC010973.1	1	1	0	1	0	1	0	0	0	0	0	0
ASIC3	38	36	24	70	6	39	33	23	17	22	22	17
CDK5	519	1103	1415	1349	33	438	36	270	110	262	835	385
SLC4A2	626	1319	1262	3081	56	1726	246	833	507	381	686	278
AC010973.2	0	7	4	5	0	3	4	3	0	4	0	0
FASTK	915	1445	1254	2860	63	828	190	654	390	577	819	420
TMUB1	627	2605	1996	4758	114	1442	259	896	702	1234	704	310
AGAP3	630	855	830	4332	68	2009	427	568	414	232	488	266
GBX1	0	0	0	1	0	0	0	0	0	0	0	0
ASB10	0	0	0	0	0	0	0	0	0	0	0	0
IQCA1L	0	0	0	0	0	0	0	0	1	0	0	0
AC021097.2	1	0	0	2	0	0	0	0	0	1	1	0
ABCF2	10	3	1	3	0	0	2	1	1	0	7	6
ABCF2.1	324	383	257	482	23	223	26	148	70	151	311	164
CHPF2	343	712	661	1392	44	475	84	410	195	336	284	145
SMARCD3	47	328	209	643	11	210	45	124	41	29	70	52
AC021097.1	55	49	38	44	2	26	6	6	4	7	32	18
AC005486.1	0	0	2	1	0	1	0	0	0	0	0	0
NUB1	1607	7395	5521	15928	303	5815	709	1875	1059	786	1938	1206
WDR86	4	60	55	69	5	27	26	19	24	21	5	1
AC005996.1	0	0	0	0	0	0	0	0	0	0	0	0
CRYGN	0	0	0	2	0	2	0	1	1	0	0	0
RHEB	5992	8679	8038	28696	396	11009	1277	4105	3370	2989	5849	2697
PRKAG2	607	1827	1288	4162	69	2107	345	824	489	341	472	224
PRKAG2-AS1	84	118	101	843	4	261	97	115	126	39	62	56
AC074257.1	0	0	0	0	0	0	0	0	0	0	0	0
GALNTL5	0	0	0	1	0	0	0	0	0	0	0	0
GALNT11	814	1170	1086	1751	57	722	102	257	165	181	656	403
AC006017.1	6	7	3	6	0	1	1	4	4	0	0	0
KMT2C	2573	4067	3506	5911	158	2644	438	1002	598	872	1458	952
LINC01003	371	321	312	1014	28	590	63	136	123	168	186	141
XRCC2	34	58	25	102	1	21	4	9	3	104	15	13
ACTR3B	81	144	106	153	11	66	13	69	29	39	45	23
LINC01287	0	0	0	0	0	0	1	0	0	0	0	0
DPP6	0	1	0	1	0	2	0	0	1	1	1	0
AC006019.3	0	0	0	0	0	0	0	0	0	0	0	0
AC006019.1	0	0	0	0	0	0	0	0	0	0	0	0
AC006019.2	0	6	1	4	2	7	0	2	1	0	0	0
AC073336.1	0	0	0	0	0	0	0	0	0	0	0	0
PAXIP1-AS2	340	640	743	536	23	292	44	97	63	46	338	220
PAXIP1	192	214	185	355	15	150	33	90	37	117	149	89
AC093726.1	0	0	0	0	0	0	0	0	0	0	0	0
AC093726.2	27	19	23	17	0	14	4	7	0	0	21	16
PAXIP1-AS1	242	286	277	232	19	137	28	82	90	118	186	89
HTR5A-AS1	0	0	0	0	0	0	0	0	1	0	0	0
HTR5A	0	0	0	0	0	0	0	0	0	0	0	0
AC099552.1	0	0	0	1	0	1	0	0	0	0	0	0
AC099552.3	0	0	0	1	0	0	0	0	0	0	0	0
AC099552.2	0	0	0	0	0	0	0	0	0	0	0	0
AC144652.1	50	31	29	134	1	81	11	30	19	29	29	14
INSIG1	587	1461	1526	16855	123	4466	835	2149	780	2707	777	463
BLACE	0	0	0	5	0	0	0	1	1	0	0	0
AC008060.1	0	0	0	0	0	0	0	0	0	0	0	0
AC008060.3	0	0	0	0	0	0	0	0	0	0	0	0
EN2	1	0	1	5	0	0	1	0	0	1	1	0
CNPY1	0	0	0	0	0	0	0	0	0	0	0	0
AC008060.2	0	0	0	0	0	0	0	0	0	0	0	0
AC009403.1	161	246	219	421	20	116	18	70	60	178	259	142
RBM33	973	2070	1644	3927	117	1316	262	515	418	721	666	405
SHH	0	10	0	3	0	3	1	22	0	6	0	0
AC021218.1	0	0	0	1	0	0	2	3	0	1	0	0
AC073133.1	0	0	2	0	0	0	0	0	0	0	0	0
AC073133.2	0	0	1	0	0	0	1	0	0	0	0	0
LINC01006	113	278	223	291	12	121	47	57	46	80	99	38
LINC00244	0	0	0	0	0	0	0	0	0	0	0	0
RNF32	25	94	83	78	6	62	25	44	14	54	26	23
AC005534.1	0	2	2	6	0	5	0	1	2	1	1	0
LMBR1	361	888	1012	1441	56	542	47	315	196	300	405	196
AC006357.1	0	0	0	0	0	0	0	0	0	1	0	0
NOM1	459	729	584	1009	28	403	54	178	66	320	436	204
MNX1	0	0	1	1	0	0	3	0	0	3	0	0
MNX1-AS2	2	1	0	1	0	0	0	0	0	0	5	2
MNX1-AS1	0	0	0	1	0	0	0	0	0	0	0	0
AC006967.2	0	0	0	0	0	0	0	0	0	0	0	0
AC006967.3	1	2	4	5	0	2	0	3	1	1	0	5
UBE3C	890	969	875	2294	48	961	98	489	207	575	648	357
AC004975.2	0	1	0	0	0	0	0	0	0	0	0	0
DNAJB6	3840	5857	5581	20046	267	5251	771	2580	1932	2097	4140	2108
AC006372.3	0	0	0	0	0	0	0	0	1	0	0	0
AC006372.1	0	0	0	0	0	0	0	0	0	1	0	0
AC006372.2	0	0	0	0	0	0	1	0	0	1	0	0
PTPRN2	21	278	269	664	33	332	80	371	109	164	42	21
AC005481.1	1	0	0	1	0	0	0	0	0	0	0	0
AC011899.2	840	1012	1086	341	10	243	6	52	16	20	818	362
AC011899.3	184	55	59	8	0	22	2	3	0	1	116	40
AC011899.1	0	0	0	0	0	1	0	1	0	0	0	0
AC078942.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01022	0	0	0	0	0	0	0	0	0	0	0	0
NCAPG2	111	153	191	456	18	121	23	67	24	338	96	32
ESYT2	593	842	875	1837	83	1452	189	787	408	723	406	233
WDR60	435	848	653	656	46	466	379	350	103	199	437	276
VIPR2	6	6	10	20	1	2	0	0	3	3	0	0
PLCXD1	152	141	98	504	4	86	30	54	20	132	118	37
GTPBP6	897	1313	883	2395	58	1006	158	453	356	420	806	228
LINC00685	416	318	224	446	9	104	51	70	66	74	323	318
PPP2R3B	263	162	175	191	12	87	39	55	43	98	126	38
AL732314.6	0	8	6	9	0	6	1	2	0	3	1	0
AL732314.4	4	2	0	3	0	1	0	0	0	0	1	2
SHOX	0	0	0	0	0	0	0	0	0	0	0	0
AL672277.1	3	4	4	2	0	0	1	1	2	3	1	0
CRLF2	3	44	13	25	0	12	5	20	11	22	3	0
CSF2RA	2239	1861	1542	3108	86	1362	380	492	410	353	2203	774
IL3RA	3400	812	1242	5710	99	2362	195	506	1300	747	699	203
SLC25A6	11646	15430	13179	34791	678	6914	1113	6529	2995	9861	19948	11450
LINC00106	24	18	15	53	1	30	3	17	8	11	11	9
ASMTL-AS1	52	126	118	149	5	118	12	55	25	68	37	25
ASMTL	238	617	467	1183	31	411	39	208	156	337	275	102
P2RY8	29	371	275	1233	29	180	21	84	251	477	19	6
AKAP17A	650	1120	777	2375	50	847	178	551	594	694	516	300
ASMT	3	17	3	70	0	7	1	2	7	17	3	2
AL683807.1	0	20	22	11	1	24	1	1	2	2	5	0
AL683807.2	0	1	1	0	0	1	0	0	0	1	0	0
DHRSX	639	3024	2771	5484	178	2416	328	833	472	429	1004	584
ZBED1	506	2557	1605	3392	89	1176	184	365	215	234	402	225
LINC00102	2	0	0	3	0	0	3	0	0	2	3	1
CD99	4953	13531	10571	37706	1112	13097	1551	7301	4439	7712	7331	1585
XG	0	0	0	2	0	0	1	0	0	0	0	0
GYG2	0	10	6	3	0	8	1	10	1	5	0	0
GYG2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ARSD	711	1030	1500	1106	29	714	61	456	214	153	666	332
ARSD-AS1	3	2	3	1	0	0	2	0	0	0	3	3
ARSE	0	2	0	1	0	1	0	6	0	1	0	0
ARSH	0	0	0	1	0	0	0	2	1	0	0	0
ARSF	0	0	0	0	0	0	0	0	0	0	0	0
LINC01546	1	0	0	0	0	0	0	0	0	0	0	0
MXRA5	0	0	2	0	0	0	2	2	1	0	0	0
PRKX	562	1396	1343	3497	89	954	140	517	451	358	291	207
PRKX-AS1	0	0	0	0	0	0	0	0	0	0	0	0
BX890604.1	30	23	38	61	3	34	5	38	39	29	5	2
FAM239A	1	0	2	2	1	3	0	1	7	12	1	0
FAM239B	20	0	3	0	1	2	6	0	2	0	2	0
FAM239C	0	0	0	1	0	0	0	0	0	0	0	0
AC074035.1	0	0	0	0	0	0	0	0	0	0	0	0
AC110995.1	0	67	15	12	7	68	11	19	0	1	0	0
NLGN4X	0	0	3	1	0	3	0	2	1	0	0	0
VCX3A	0	0	1	0	0	0	0	0	0	0	0	0
AC097347.1	0	0	1	0	0	0	1	1	0	0	1	0
PUDP	228	545	766	900	21	464	38	328	216	248	185	184
STS	123	189	223	241	4	144	13	241	135	72	151	117
VCX	0	1	1	0	0	0	0	0	1	0	1	1
PNPLA4	303	307	506	455	15	219	58	336	115	146	530	446
AC078960.1	0	0	0	0	0	0	0	0	0	0	0	0
VCX2	0	0	0	0	0	0	1	0	0	0	0	0
VCX3B	0	1	1	2	0	0	2	0	0	0	0	0
ANOS1	1136	2329	2317	520	42	136	19	93	20	25	1329	968
FAM9A	0	0	0	0	0	0	0	0	0	0	0	0
AC003685.1	0	0	0	0	0	0	0	0	0	0	0	0
FAM9B	0	2	0	0	0	0	0	0	0	2	0	8
AC003684.1	0	0	0	0	0	0	0	0	1	0	0	0
TBL1X	689	815	692	1089	11	568	82	233	143	297	591	381
GPR143	0	3	2	14	0	3	3	28	13	17	0	1
SHROOM2	0	13	16	11	4	18	11	40	28	18	2	1
CLDN34	0	0	0	1	0	0	0	1	2	0	0	0
WWC3	216	472	374	988	23	407	66	181	113	205	149	86
WWC3-AS1	0	0	0	0	0	0	0	0	0	0	1	1
CLCN4	550	504	405	265	8	104	15	33	16	50	363	241
AC003666.1	0	1	0	0	0	0	0	0	0	0	0	0
MID1	5	76	96	186	5	118	49	347	138	192	6	9
AC073529.1	6	10	11	10	0	10	0	5	2	15	8	6
HCCS	706	1287	1198	2818	50	920	107	510	376	574	942	407
ARHGAP6	800	1426	1388	276	38	210	18	72	32	53	777	438
AMELX	0	0	0	0	0	0	0	0	0	0	0	0
AC004554.2	0	3	7	9	0	5	2	3	2	4	0	0
MSL3	1561	3629	3102	6093	97	2429	244	924	564	853	1281	879
FRMPD4	0	1	1	1	0	0	0	0	0	1	0	0
FRMPD4-AS1	0	0	0	0	0	0	0	0	0	0	0	0
PRPS2	949	1133	1060	2971	71	1006	93	618	217	555	795	461
TLR7	656	2230	1584	1335	50	885	62	147	87	96	609	351
TLR8-AS1	2	4	1	2	0	0	0	0	0	1	2	0
TLR8	1398	2074	2047	2762	39	750	76	80	40	89	819	540
TMSB4X	348345	845791	646832	850356	26078	193313	24969	94799	57753	117746	1153934	490174
FAM9C	8	3	2	3	0	2	2	0	1	2	1	2
AC079171.1	5	1	4	5	0	1	2	0	1	2	16	1
LINC02154	3450	1827	3790	306	117	43	36	86	2	141	3775	342
AC004674.1	0	0	0	0	0	0	0	0	0	0	0	1
ATXN3L	0	1	0	0	0	0	0	0	0	0	0	0
LINC01203	0	1	1	0	0	0	0	0	0	0	0	0
AC135371.1	1	0	0	0	0	0	0	0	0	0	1	0
EGFL6	0	7	17	85	1	73	4	117	56	15	0	0
TCEANC	126	204	188	168	9	70	14	20	35	32	99	52
RAB9A	1195	4367	3405	8631	142	2767	426	1105	1174	670	1234	573
TRAPPC2	421	440	454	577	36	271	27	160	159	225	276	181
OFD1	536	1538	1313	1901	81	720	223	393	450	357	489	322
GPM6B	77	47	47	17	3	43	0	26	10	10	49	27
AC003035.2	0	0	2	0	0	0	0	0	0	0	0	0
AC003035.1	0	1	0	0	0	5	3	0	0	1	0	0
GEMIN8	185	486	581	605	19	213	51	183	124	229	349	147
GLRA2	0	0	1	0	0	0	0	1	1	0	0	0
FANCB	66	92	93	227	8	64	5	29	20	140	76	40
MOSPD2	2569	2673	2483	2816	86	1432	107	239	145	273	1883	1316
ASB9	65	169	100	45	2	20	3	28	0	3	97	42
ASB11	4	2	0	4	0	1	0	1	1	1	1	4
PIGA	188	242	153	502	11	401	68	112	139	127	126	80
VEGFD	2	6	1	11	0	4	3	3	7	5	0	0
PIR	142	658	776	1175	40	474	170	362	255	127	195	92
BMX	4	5	1	11	0	1	1	3	1	0	2	7
ACE2	0	5	3	19	1	27	5	38	43	15	1	0
AC097625.1	0	4	0	3	0	5	0	1	2	1	0	0
CLTRN	4	6	6	39	1	10	13	35	94	27	2	1
CA5B	154	750	879	1030	35	345	64	277	305	215	105	69
INE2	3	2	0	2	0	1	0	3	0	1	1	0
ZRSR2	619	2025	2101	2245	65	783	164	346	332	275	1064	999
AP1S2	2147	2616	1856	10316	119	5817	392	1552	793	955	2464	1443
GRPR	1	3	1	2	0	0	0	0	1	1	0	2
AC078993.1	0	0	0	1	0	0	0	0	0	0	0	0
MAGEB17	0	0	1	0	0	0	0	0	0	1	0	0
CTPS2	99	209	165	170	11	84	12	61	42	65	93	61
S100G	0	0	0	0	0	0	0	0	0	0	0	0
SYAP1	1083	2702	2844	4634	122	2219	299	1435	623	1020	2220	1199
TXLNG	280	539	793	612	23	283	47	207	171	167	397	285
RBBP7	1287	2250	1936	3572	140	1277	129	718	391	1343	1057	586
REPS2	39	59	49	192	5	153	30	65	53	17	29	21
NHS	62	139	94	37	4	56	32	76	25	30	49	39
NHS-AS1	0	1	0	0	0	0	0	0	0	0	0	1
SCML1	539	1476	945	3267	39	793	141	194	125	120	544	351
RAI2	0	7	8	10	3	5	2	18	5	7	0	0
LINC01456	0	0	0	0	0	0	0	0	0	0	0	0
BEND2	0	0	0	0	0	0	0	0	0	0	0	0
SCML2	10	15	12	40	0	28	1	5	8	4	6	1
CDKL5	208	299	248	317	9	138	31	74	61	48	182	117
RS1	1	3	0	0	0	0	0	0	0	0	3	0
PPEF1	2	1	0	4	0	1	0	0	0	1	1	0
PPEF1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
PHKA2-AS1	1	1	2	3	1	1	0	1	0	0	0	0
PHKA2	312	458	406	1021	13	302	46	179	104	88	294	220
ADGRG2	9	15	10	11	0	1	1	5	3	0	1	9
PDHA1	842	1853	1983	2932	95	1003	104	548	342	929	1430	821
MAP3K15	1	2	4	4	0	2	0	2	2	4	1	1
SH3KBP1	1196	2513	1932	6779	151	2285	245	923	756	1123	757	455
BCLAF3	453	270	288	621	23	319	50	93	70	102	200	107
MAP7D2	1	5	2	9	1	5	3	7	3	4	1	0
EIF1AX	4157	4739	5711	9481	165	4017	304	2393	1224	2277	4184	3364
EIF1AX-AS1	0	0	0	0	0	0	0	0	0	0	0	0
RPS6KA3	2410	1179	1279	3521	104	1543	203	974	364	970	1091	558
AL928596.1	0	0	0	0	0	0	0	0	0	0	0	1
AL807740.1	0	0	0	0	0	1	0	2	1	0	0	0
BX088723.1	0	0	0	1	0	0	0	0	0	0	0	0
CNKSR2	1	5	10	69	3	8	1	8	2	28	3	1
KLHL34	1	2	3	2	0	1	0	0	0	2	0	0
SMPX	0	0	1	9	1	1	0	34	11	5	0	0
MBTPS2	272	295	306	504	14	228	26	110	52	147	182	117
YY2	84	38	27	47	2	35	2	9	3	12	59	29
SMS	4151	5997	6149	11962	293	4640	443	3010	1362	2232	4726	2954
PHEX	8	31	21	17	4	29	2	35	21	25	5	1
PHEX-AS1	0	0	0	0	0	0	0	0	0	0	0	0
PTCHD1-AS	0	0	0	0	0	0	0	0	0	0	0	0
CBLL2	0	0	0	0	0	0	0	0	0	0	0	0
AC092832.2	0	0	0	0	0	0	0	0	0	0	0	0
AC004470.1	0	0	0	0	0	0	0	0	0	0	0	0
DDX53	0	0	0	0	0	0	0	0	0	0	0	0
PTCHD1	0	2	2	1	0	1	1	2	1	0	0	0
PRDX4	1791	3538	5272	6177	153	1857	232	1602	628	3036	3319	2131
ACOT9	1297	3495	3134	15189	222	5485	1027	1641	1257	1085	1355	595
AC131011.1	0	45	5	95	0	45	17	32	14	16	1	0
SAT1	36688	152734	102616	784756	8737	193124	68617	85720	55626	36506	39644	18985
APOO	232	803	876	1651	64	628	149	480	205	452	478	234
CXorf58	4	11	8	4	2	4	14	4	3	1	3	1
KLHL15	192	233	169	463	6	211	48	77	65	62	105	69
EIF2S3	4612	3287	4222	5947	146	2177	260	1241	956	1599	3426	1987
ZFX-AS1	0	0	0	0	0	1	1	0	0	1	0	0
ZFX	588	835	1068	1702	45	641	122	398	298	337	477	440
PDK3	284	720	758	1960	36	559	41	189	106	170	286	157
PCYT1B	0	23	21	10	1	47	8	18	12	3	2	1
PCYT1B-AS1	0	0	0	0	0	0	0	0	0	0	0	0
POLA1	112	238	199	423	12	164	13	60	25	205	104	71
ARX	0	12	23	7	3	15	18	5	7	5	0	2
AC121342.1	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB18	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB6B	0	0	0	0	0	0	0	0	0	0	0	0
